source_id,orig_index,row_in_batch,batch_id,teff,logg,mh,alpha,normalized
1012764493967581312,0,0,0,4371.0322265625,4.4257001876831055,-0.2671999931335449,0.0,False
1589762907457297280,1,1,0,5425.384765625,4.590000152587891,-0.6583999991416931,0.0,False
1958150911092920960,2,2,0,5051.27587890625,4.353400230407715,-1.5256999731063843,0.0,False
2229421732702064128,3,3,0,6906.98828125,4.184599876403809,-0.628000020980835,0.0,False
97386635385758976,4,4,0,5289.0302734375,4.587500095367432,-0.4661000072956085,0.0,False
2537260489983199360,5,5,0,5613.07763671875,4.06850004196167,-0.48260000348091125,0.0,False
3244145410356301184,6,6,0,5761.01171875,4.68120002746582,-1.5383000373840332,0.0,False
150784005274051072,7,7,0,4808.3056640625,4.849599838256836,-2.249000072479248,0.0,False
885974619848414336,8,8,0,5146.78662109375,4.63070011138916,-0.034699998795986176,0.0,False
4418749563436893184,9,9,0,4660.68115234375,4.51669979095459,-0.5544999837875366,0.0,False
4449817810670335872,10,10,0,5407.00341796875,4.393700122833252,-0.9957000017166138,0.0,False
6887923547487919232,11,11,0,5240.16064453125,4.581500053405762,-0.37540000677108765,0.0,False
6899549508562945536,12,12,0,5247.17626953125,4.382299900054932,-1.0399999618530273,0.0,False
4237280868696411520,13,13,0,5022.88232421875,4.781000137329102,-1.7730000019073486,0.0,False
1860881000040702208,14,14,0,5521.83056640625,4.541600227355957,-0.4580000042915344,0.0,False
4298825928981707008,15,15,0,5046.453125,4.39900016784668,-0.45080000162124634,0.0,False
341688425336330496,16,16,0,5164.77978515625,4.652599811553955,-0.6039000153541565,0.0,False
1400595814548978432,17,17,0,4427.72021484375,4.571800231933594,0.1462000012397766,0.0,False
1743114268084454656,18,18,0,4929.32177734375,4.734799861907959,-1.0019999742507935,0.0,False
1883572136889559808,19,19,0,5613.5615234375,4.428299903869629,-0.9243000149726868,0.0,False
2835701755744344576,20,20,0,5529.4384765625,4.367499828338623,-0.23589999973773956,0.0,False
2840779369161322880,21,21,0,5406.25830078125,4.624300003051758,-0.8515999913215637,0.0,False
767218804177963904,22,22,0,5244.365234375,3.531599998474121,0.013799999840557575,0.0,False
6253495477020662784,23,23,0,5373.7744140625,4.676000118255615,-1.254699945449829,0.0,False
4486102278502907136,24,24,0,5164.54443359375,3.688800096511841,-0.2012999951839447,0.0,False
4246527280448993792,25,25,0,5219.28564453125,4.7153000831604,-1.3307000398635864,0.0,False
4249757267652741888,26,26,0,5248.85888671875,4.74459981918335,-1.437000036239624,0.0,False
1499670299067354752,27,27,0,4435.24462890625,4.517899990081787,-0.33320000767707825,0.0,False
2780126940517565824,28,28,0,5085.40185546875,4.533400058746338,-1.509600043296814,0.0,False
3118608296597609600,29,29,0,4785.4111328125,4.902400016784668,-2.309299945831299,0.0,False
3637035210275375744,30,30,0,4759.494140625,4.66949987411499,-0.3587000072002411,0.0,False
3651957262396418944,31,31,0,5246.787109375,4.67519998550415,-0.7458000183105469,0.0,False
3844912104142945408,32,32,0,5481.27490234375,4.167300224304199,0.2160000056028366,0.0,False
1381224653050449152,33,33,0,5711.61181640625,4.647200107574463,-0.6115000247955322,0.0,False
4384552277914353792,34,34,0,5120.38818359375,4.6596999168396,-0.8319000005722046,0.0,False
2051782916138493696,35,35,0,5280.068359375,4.3445000648498535,-0.4122999906539917,0.0,False
239961751270622336,36,36,0,5089.81787109375,4.35230016708374,-0.6718000173568726,0.0,False
1585715325981468928,37,37,0,7145.1767578125,4.584000110626221,-2.118499994277954,0.0,False
1970312093829431936,38,38,0,5764.9951171875,4.11959981918335,-0.27059999108314514,0.0,False
2704272801548167168,39,39,0,4300.21435546875,4.4542999267578125,9.999999747378752e-05,0.0,False
2725938639518818048,40,40,0,5336.50927734375,4.53380012512207,-0.4611999988555908,0.0,False
616814478311106816,41,41,0,4493.6904296875,4.552199840545654,-0.25529998540878296,0.0,False
617718487322047872,42,42,0,6250.17236328125,4.201000213623047,-0.5551999807357788,0.0,False
733591924669458560,43,43,0,4356.103515625,4.391499996185303,-1.0255999565124512,0.0,False
797083949467538304,44,44,0,4526.521484375,4.644899845123291,0.43630000948905945,0.0,False
896861571670441088,45,45,0,5544.7646484375,4.705699920654297,-0.8967000246047974,0.0,False
907302705886101120,46,46,0,5034.44921875,4.675000190734863,-0.5045999884605408,0.0,False
3432038001787335552,47,47,0,4882.21875,4.7256999015808105,-0.9707000255584717,0.0,False
4445296996812552064,48,48,0,4667.9228515625,4.66349983215332,-0.15649999678134918,0.0,False
4321505490909947008,49,49,0,7826.1083984375,4.215799808502197,-0.3873000144958496,0.0,False
