source_id,orig_index,row_in_batch,batch_id,teff,logg,mh,alpha,normalized,bp_rp
1012764493967581312,0,0,0,4371.0322265625,4.4257001876831055,-0.2671999931335449,0.0,False,1.4424896240234375
1589762907457297280,1,1,0,5425.384765625,4.590000152587891,-0.6583999991416931,0.0,False,0.8853874206542969
1958150911092920960,2,2,0,5051.27587890625,4.353400230407715,-1.5256999731063843,0.0,False,1.0820846557617188
2229421732702064128,3,3,0,6906.98828125,4.184599876403809,-0.628000020980835,0.0,False,1.1704235076904297
97386635385758976,4,4,0,5289.0302734375,4.587500095367432,-0.4661000072956085,0.0,False,1.0861244201660156
2537260489983199360,5,0,1,5613.07763671875,4.06850004196167,-0.48260000348091125,0.0,False,0.8204402923583984
3244145410356301184,6,1,1,5761.01171875,4.68120002746582,-1.5383000373840332,0.0,False,0.7770309448242188
150784005274051072,7,2,1,4808.3056640625,4.849599838256836,-2.249000072479248,0.0,False,1.1244583129882812
885974619848414336,8,3,1,5146.78662109375,4.63070011138916,-0.034699998795986176,0.0,False,0.9999847412109375
4418749563436893184,9,4,1,4660.68115234375,4.51669979095459,-0.5544999837875366,0.0,False,1.198338508605957
